"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Horizontal_Distance_To_Fire_Points","Cover_Type","Combined_Soil_Type","Combined_Wilderness_Area","Total_Hillshade"
3296,"NE","15-20",481,168,1415,2191,"Lodgepole Pine","33","Comanche Peak Area",543
2576,"NE","20-25",60,18,962,6421,"Spruce/Fir","29","Rawah Area",511
2523,"SE","15-20",201,80,618,295,"Lodgepole Pine","6","Cache la Poudre Area",574
2612,"S","25-30",309,173,295,824,"Lodgepole Pine","3","Comanche Peak Area",621
2993,"NE","5-10",430,0,3320,5675,"Lodgepole Pine","29","Rawah Area",577
2779,"NE","15-20",618,49,2682,1797,"Lodgepole Pine","32","Comanche Peak Area",538
3140,"NE","0-5",120,5,2806,1050,"Lodgepole Pine","23","Rawah Area",598
3047,"E","5-10",108,12,4745,631,"Lodgepole Pine","30","Rawah Area",579
3299,"NW","5-10",379,71,1770,875,"Spruce/Fir","31","Comanche Peak Area",603
2975,"N","5-10",216,10,3294,6512,"Spruce/Fir","29","Rawah Area",587
2162,"N","30-35",42,19,1231,1421,"Ponderosa Pine","10","Cache la Poudre Area",421
2944,"NW","20-25",216,31,3576,1510,"Lodgepole Pine","29","Rawah Area",556
3018,"SE","10-15",362,-12,6463,3602,"Spruce/Fir","29","Rawah Area",601
3242,"E","10-15",242,44,1639,1387,"Spruce/Fir","33","Neota Area",580
3443,"SE","20-25",395,19,2100,2792,"Spruce/Fir","39","Neota Area",544
2788,"NE","10-15",417,102,2932,6478,"Spruce/Fir","12","Rawah Area",569
3205,"S","15-20",150,21,3173,1170,"Lodgepole Pine","32","Comanche Peak Area",630
3327,"N","5-10",649,54,942,1112,"Spruce/Fir","23","Neota Area",601
2769,"E","10-15",182,45,2828,2468,"Lodgepole Pine","12","Rawah Area",586
3034,"NE","15-20",60,16,3224,5978,"Spruce/Fir","29","Rawah Area",514
2663,"E","30-35",150,22,907,1855,"Lodgepole Pine","12","Rawah Area",449
2576,"NE","10-15",182,54,2597,661,"Lodgepole Pine","11","Comanche Peak Area",551
2927,"NE","15-20",631,148,1282,2592,"Lodgepole Pine","33","Comanche Peak Area",542
3044,"E","10-15",408,69,2821,6615,"Spruce/Fir","29","Rawah Area",568
3019,"N","5-10",30,0,842,1449,"Spruce/Fir","22","Neota Area",588
3249,"E","25-30",201,91,4974,1559,"Spruce/Fir","30","Rawah Area",504
2466,"NE","5-10",0,0,1430,721,"Douglas-fir","4","Comanche Peak Area",592
3194,"SE","10-15",67,10,3373,366,"Lodgepole Pine","22","Comanche Peak Area",612
2867,"E","10-15",457,47,2118,2837,"Lodgepole Pine","30","Rawah Area",577
3188,"N","0-5",543,95,2992,3463,"Spruce/Fir","30","Rawah Area",612
3174,"W","30-35",210,61,2040,3260,"Spruce/Fir","29","Rawah Area",580
2652,"S","20-25",108,14,1530,849,"Lodgepole Pine","30","Rawah Area",599
3343,"N","20-25",330,123,2219,1110,"Spruce/Fir","39","Comanche Peak Area",505
3125,"E","10-15",391,44,1505,2836,"Spruce/Fir","32","Comanche Peak Area",588
3135,"S","20-25",295,57,108,3278,"Spruce/Fir","22","Neota Area",595
2660,"E","20-25",285,74,1302,674,"Lodgepole Pine","30","Rawah Area",543
3212,"N","20-25",60,22,2773,2702,"Spruce/Fir","24","Comanche Peak Area",541
3164,"SW","5-10",470,83,5892,2431,"Lodgepole Pine","30","Rawah Area",632
3005,"SW","35-40",598,68,3795,1256,"Lodgepole Pine","13","Comanche Peak Area",599
3147,"SE","10-15",30,7,1410,1291,"Lodgepole Pine","29","Rawah Area",604
3104,"SW","10-15",300,13,2094,780,"Lodgepole Pine","32","Comanche Peak Area",633
2419,"E","25-30",180,82,384,853,"Ponderosa Pine","4","Comanche Peak Area",497
2932,"SE","20-25",300,131,300,1092,"Lodgepole Pine","29","Rawah Area",553
2889,"SW","25-30",150,76,1371,361,"Lodgepole Pine","13","Comanche Peak Area",627
3119,"NW","20-25",743,92,3882,2654,"Lodgepole Pine","29","Rawah Area",554
3126,"E","5-10",153,18,5372,886,"Lodgepole Pine","29","Rawah Area",586
3183,"E","5-10",108,4,2308,937,"Spruce/Fir","23","Rawah Area",595
2915,"NE","5-10",30,2,1681,1777,"Spruce/Fir","29","Rawah Area",595
2624,"E","20-25",108,32,1434,256,"Ponderosa Pine","4","Comanche Peak Area",522
2904,"SE","20-25",150,65,1127,558,"Lodgepole Pine","29","Rawah Area",590
3281,"E","30-35",42,22,2210,190,"Krummholz","39","Comanche Peak Area",444
2662,"NE","10-15",108,6,2250,870,"Lodgepole Pine","10","Comanche Peak Area",547
3248,"N","5-10",30,2,730,1261,"Lodgepole Pine","24","Neota Area",591
3194,"NE","0-5",582,11,5356,2177,"Spruce/Fir","19","Rawah Area",603
3091,"W","10-15",134,15,1493,1998,"Spruce/Fir","23","Comanche Peak Area",616
3095,"N","0-5",228,11,5187,1200,"Spruce/Fir","29","Rawah Area",605
2792,"E","25-30",124,7,2611,973,"Lodgepole Pine","10","Comanche Peak Area",500
3441,"N","15-20",616,242,4280,3615,"Krummholz","39","Comanche Peak Area",534
3224,"N","10-15",0,0,2952,2094,"Spruce/Fir","22","Rawah Area",570
3324,"NW","0-5",492,77,930,1260,"Spruce/Fir","23","Neota Area",614
3262,"W","5-10",408,28,390,807,"Spruce/Fir","32","Comanche Peak Area",625
2505,"NE","15-20",30,0,930,5020,"Lodgepole Pine","16","Rawah Area",526
2860,"SW","20-25",443,28,899,1739,"Aspen","4","Comanche Peak Area",636
2916,"NE","10-15",42,10,969,702,"Lodgepole Pine","31","Comanche Peak Area",567
3070,"SW","10-15",446,36,5941,2039,"Lodgepole Pine","29","Rawah Area",639
2927,"NE","15-20",242,38,3549,2925,"Lodgepole Pine","29","Rawah Area",531
2892,"N","5-10",42,11,1824,1950,"Lodgepole Pine","33","Comanche Peak Area",581
2915,"SE","5-10",418,56,2529,2058,"Lodgepole Pine","26","Comanche Peak Area",612
3047,"SE","10-15",870,6,1168,716,"Lodgepole Pine","23","Comanche Peak Area",608
3203,"W","0-5",90,-14,3409,1624,"Spruce/Fir","22","Rawah Area",616
3101,"NE","10-15",469,45,5180,1650,"Spruce/Fir","20","Rawah Area",572
2342,"NE","20-25",182,68,180,1001,"Ponderosa Pine","2","Comanche Peak Area",494
2704,"NE","15-20",499,104,1215,2652,"Lodgepole Pine","12","Rawah Area",542
3237,"SE","5-10",331,23,4726,684,"Lodgepole Pine","29","Rawah Area",614
2954,"NE","5-10",30,6,4666,2285,"Aspen","23","Rawah Area",592
3156,"NW","25-30",120,33,3221,2222,"Spruce/Fir","24","Rawah Area",563
3149,"SE","15-20",720,108,957,2003,"Lodgepole Pine","33","Comanche Peak Area",600
2423,"W","15-20",255,2,1054,67,"Douglas-fir","10","Cache la Poudre Area",625
3118,"NE","5-10",175,27,2448,1114,"Spruce/Fir","30","Rawah Area",588
3320,"S","15-20",836,163,1020,1468,"Lodgepole Pine","40","Comanche Peak Area",624
2733,"E","5-10",210,17,1380,1950,"Lodgepole Pine","12","Rawah Area",586
3096,"W","5-10",484,30,2337,2583,"Lodgepole Pine","32","Comanche Peak Area",625
2947,"E","35-40",216,140,1351,1053,"Lodgepole Pine","33","Comanche Peak Area",366
3215,"SW","5-10",134,11,5607,1065,"Spruce/Fir","29","Rawah Area",632
3069,"E","15-20",30,-3,2595,1933,"Spruce/Fir","31","Comanche Peak Area",554
2839,"NE","10-15",234,41,3126,331,"Lodgepole Pine","33","Comanche Peak Area",549
3028,"E","15-20",459,89,350,1892,"Lodgepole Pine","33","Comanche Peak Area",554
2978,"E","15-20",175,21,3565,2341,"Spruce/Fir","29","Rawah Area",554
2582,"SE","10-15",134,43,170,1613,"Lodgepole Pine","30","Rawah Area",592
3174,"NW","5-10",201,14,4924,2568,"Lodgepole Pine","23","Rawah Area",611
2922,"NE","10-15",67,19,4668,4669,"Spruce/Fir","23","Rawah Area",547
3068,"NE","5-10",270,27,3971,2071,"Lodgepole Pine","29","Rawah Area",591
2818,"SE","10-15",636,43,2117,1804,"Aspen","17","Comanche Peak Area",597
3167,"NW","20-25",190,45,2872,2534,"Spruce/Fir","29","Rawah Area",552
2442,"NW","30-35",247,150,390,700,"Ponderosa Pine","10","Cache la Poudre Area",538
2109,"W","30-35",90,25,1191,450,"Ponderosa Pine","1","Cache la Poudre Area",609
2959,"SW","5-10",170,-13,1148,808,"Lodgepole Pine","32","Comanche Peak Area",625
3602,"N","10-15",362,65,1879,1706,"Krummholz","40","Neota Area",579
2879,"N","5-10",134,31,730,424,"Lodgepole Pine","31","Comanche Peak Area",582
3088,"N","5-10",313,19,5117,2725,"Spruce/Fir","22","Rawah Area",590
2983,"W","30-35",120,64,2397,2789,"Lodgepole Pine","33","Comanche Peak Area",595
2383,"N","25-30",234,131,1252,1128,"Ponderosa Pine","10","Cache la Poudre Area",521
2616,"E","15-20",595,42,947,994,"Ponderosa Pine","11","Comanche Peak Area",544
3157,"N","5-10",150,-20,924,966,"Spruce/Fir","22","Neota Area",598
3057,"S","5-10",382,57,2333,1364,"Lodgepole Pine","32","Comanche Peak Area",630
3197,"W","5-10",90,13,594,1485,"Spruce/Fir","23","Comanche Peak Area",626
3148,"W","15-20",95,15,3937,1282,"Spruce/Fir","22","Comanche Peak Area",621
3042,"NW","15-20",618,215,638,1358,"Lodgepole Pine","30","Rawah Area",569
3294,"NE","5-10",42,-1,2081,2039,"Lodgepole Pine","38","Neota Area",581
3330,"N","15-20",525,21,3636,3500,"Krummholz","40","Comanche Peak Area",566
3267,"NW","10-15",190,15,4431,680,"Spruce/Fir","32","Comanche Peak Area",601
3087,"SW","10-15",485,5,2610,990,"Spruce/Fir","32","Comanche Peak Area",633
3299,"N","10-15",391,107,1206,1798,"Spruce/Fir","22","Rawah Area",563
2330,"N","10-15",30,4,1290,190,"Douglas-fir","16","Cache la Poudre Area",574
2800,"NW","20-25",323,65,1392,1282,"Lodgepole Pine","33","Comanche Peak Area",533
2945,"NE","10-15",335,15,691,2166,"Lodgepole Pine","29","Rawah Area",565
3149,"N","15-20",534,70,1071,1572,"Spruce/Fir","24","Comanche Peak Area",537
3350,"N","20-25",469,132,4860,2914,"Spruce/Fir","38","Comanche Peak Area",548
3182,"N","15-20",703,155,4419,2089,"Spruce/Fir","29","Rawah Area",564
2768,"NE","5-10",488,-4,1926,2185,"Lodgepole Pine","12","Rawah Area",581
2985,"NE","15-20",162,26,5198,2542,"Spruce/Fir","29","Rawah Area",517
2359,"N","20-25",0,0,532,607,"Douglas-fir","10","Cache la Poudre Area",542
2977,"NE","5-10",902,179,2802,731,"Lodgepole Pine","31","Comanche Peak Area",580
2739,"SE","10-15",95,10,2799,4944,"Lodgepole Pine","12","Rawah Area",596
2971,"NE","5-10",30,6,2400,2188,"Spruce/Fir","23","Comanche Peak Area",584
3096,"NE","10-15",564,10,3996,3334,"Lodgepole Pine","29","Rawah Area",549
2568,"SE","15-20",95,9,1442,2439,"Ponderosa Pine","4","Comanche Peak Area",595
3306,"SE","25-30",511,125,1583,1158,"Spruce/Fir","33","Neota Area",548
2797,"NE","10-15",120,11,3488,2906,"Lodgepole Pine","29","Rawah Area",547
3111,"W","10-15",757,71,3342,2071,"Spruce/Fir","31","Comanche Peak Area",634
3011,"SE","15-20",376,61,324,1507,"Spruce/Fir","23","Rawah Area",587
3031,"NE","10-15",319,13,1370,2591,"Lodgepole Pine","29","Rawah Area",571
2955,"N","5-10",366,53,3290,1895,"Lodgepole Pine","29","Rawah Area",589
2605,"NE","15-20",228,53,1073,1146,"Lodgepole Pine","11","Comanche Peak Area",539
3320,"SW","5-10",691,106,1061,2467,"Lodgepole Pine","23","Comanche Peak Area",625
2653,"W","15-20",67,12,1608,600,"Lodgepole Pine","33","Comanche Peak Area",620
2777,"NE","0-5",190,25,2850,2046,"Lodgepole Pine","12","Rawah Area",598
3014,"N","10-15",30,3,6461,3368,"Lodgepole Pine","20","Rawah Area",565
3097,"W","5-10",459,34,400,1364,"Lodgepole Pine","32","Comanche Peak Area",626
3136,"E","10-15",362,98,285,1645,"Lodgepole Pine","22","Rawah Area",572
2892,"SE","15-20",256,79,2106,1106,"Aspen","32","Comanche Peak Area",595
2692,"NE","15-20",417,218,924,1332,"Lodgepole Pine","33","Comanche Peak Area",539
2929,"E","5-10",30,0,3749,6281,"Spruce/Fir","29","Rawah Area",595
3289,"SE","15-20",514,87,2779,1106,"Lodgepole Pine","36","Comanche Peak Area",599
3011,"N","30-35",390,152,390,1777,"Spruce/Fir","30","Rawah Area",437
2999,"NE","10-15",306,47,1221,2356,"Spruce/Fir","29","Rawah Area",557
3295,"W","10-15",153,27,5535,918,"Spruce/Fir","38","Rawah Area",614
3209,"S","0-5",618,-4,466,2223,"Lodgepole Pine","23","Comanche Peak Area",615
2779,"N","10-15",120,16,1723,1958,"Lodgepole Pine","29","Rawah Area",587
2289,"S","20-25",242,68,309,666,"Ponderosa Pine","3","Cache la Poudre Area",610
2805,"NE","5-10",636,71,365,1041,"Lodgepole Pine","11","Comanche Peak Area",579
2965,"E","10-15",391,10,4426,1926,"Lodgepole Pine","29","Rawah Area",578
2796,"E","5-10",324,23,2191,2524,"Lodgepole Pine","12","Rawah Area",580
2822,"N","10-15",0,0,1890,1149,"Spruce/Fir","13","Comanche Peak Area",570
2835,"NW","15-20",124,37,3159,404,"Lodgepole Pine","10","Comanche Peak Area",577
3007,"NW","25-30",361,-96,1129,2876,"Spruce/Fir","29","Rawah Area",549
2808,"NE","15-20",175,23,3141,6536,"Lodgepole Pine","12","Rawah Area",540
3239,"N","10-15",780,95,6385,1489,"Spruce/Fir","29","Rawah Area",576
2726,"NW","25-30",342,167,1107,751,"Douglas-fir","33","Comanche Peak Area",559
3281,"NE","10-15",384,-33,3276,1962,"Krummholz","39","Comanche Peak Area",548
2819,"NW","20-25",525,223,1465,1101,"Lodgepole Pine","33","Comanche Peak Area",550
2833,"NW","15-20",67,17,2402,2282,"Spruce/Fir","29","Rawah Area",596
2884,"E","10-15",630,52,420,1181,"Lodgepole Pine","11","Comanche Peak Area",576
2375,"NE","25-30",60,18,509,1158,"Lodgepole Pine","10","Cache la Poudre Area",477
3021,"NE","15-20",42,13,3267,6000,"Lodgepole Pine","29","Rawah Area",524
2579,"NE","20-25",210,61,2340,591,"Lodgepole Pine","10","Comanche Peak Area",489
2903,"NW","10-15",247,39,2072,842,"Lodgepole Pine","31","Comanche Peak Area",585
3011,"SW","0-5",30,0,5040,2665,"Spruce/Fir","23","Rawah Area",617
2281,"E","5-10",228,76,661,495,"Ponderosa Pine","2","Cache la Poudre Area",601
2848,"E","15-20",446,138,495,1567,"Lodgepole Pine","30","Rawah Area",530
3231,"SE","20-25",301,-13,1064,2679,"Spruce/Fir","22","Rawah Area",592
2943,"SW","10-15",738,143,2580,1570,"Lodgepole Pine","26","Comanche Peak Area",638
2310,"NW","10-15",150,62,875,1050,"Douglas-fir","11","Cache la Poudre Area",590
3216,"NE","15-20",90,-9,1616,2821,"Spruce/Fir","29","Rawah Area",525
2155,"N","5-10",30,-3,942,847,"Cottonwood/Willow","14","Cache la Poudre Area",591
3189,"NW","15-20",30,0,4335,3590,"Spruce/Fir","22","Comanche Peak Area",575
3237,"NE","10-15",816,46,3787,2431,"Spruce/Fir","23","Rawah Area",570
2833,"E","15-20",594,201,2596,1921,"Ponderosa Pine","10","Comanche Peak Area",545
3367,"W","5-10",402,28,990,2255,"Spruce/Fir","32","Comanche Peak Area",623
3239,"N","40-45",60,39,3060,212,"Krummholz","22","Comanche Peak Area",354
2810,"NW","15-20",256,115,1071,379,"Lodgepole Pine","33","Comanche Peak Area",557
3011,"N","10-15",127,16,6047,3442,"Lodgepole Pine","29","Rawah Area",577
2434,"E","10-15",361,78,815,1116,"Douglas-fir","2","Cache la Poudre Area",574
2625,"E","5-10",30,-8,2230,2524,"Douglas-fir","17","Comanche Peak Area",582
3250,"W","10-15",335,66,908,342,"Spruce/Fir","32","Comanche Peak Area",622
2791,"N","15-20",150,42,3450,5851,"Lodgepole Pine","29","Rawah Area",556
3178,"NE","15-20",446,43,4690,2553,"Spruce/Fir","29","Rawah Area",534
3169,"E","15-20",124,22,1917,1939,"Spruce/Fir","31","Comanche Peak Area",547
3254,"SE","10-15",212,34,1640,1992,"Spruce/Fir","32","Comanche Peak Area",594
2731,"W","35-40",180,93,1587,1269,"Lodgepole Pine","13","Comanche Peak Area",550
2778,"N","25-30",216,82,1897,792,"Lodgepole Pine","33","Comanche Peak Area",457
2614,"NW","20-25",127,26,1610,2876,"Douglas-fir","10","Comanche Peak Area",539
2946,"N","10-15",247,11,5028,1865,"Aspen","29","Rawah Area",577
3268,"NW","0-5",240,25,5644,551,"Spruce/Fir","22","Rawah Area",611
2942,"E","0-5",268,26,1681,1155,"Spruce/Fir","29","Rawah Area",604
2575,"NW","25-30",247,136,457,458,"Lodgepole Pine","33","Comanche Peak Area",565
3310,"NW","10-15",182,-5,4984,3245,"Krummholz","38","Comanche Peak Area",604
2932,"NE","5-10",95,6,4838,6285,"Lodgepole Pine","20","Rawah Area",594
3217,"NE","10-15",450,12,2856,993,"Spruce/Fir","22","Comanche Peak Area",563
3247,"S","15-20",240,67,3516,2964,"Spruce/Fir","22","Rawah Area",634
2143,"W","25-30",124,40,750,242,"Ponderosa Pine","10","Cache la Poudre Area",584
3115,"N","20-25",390,55,1307,2241,"Lodgepole Pine","32","Comanche Peak Area",539
2663,"SE","5-10",360,-6,1403,5748,"Lodgepole Pine","29","Rawah Area",615
2834,"N","15-20",201,47,2122,2497,"Lodgepole Pine","29","Rawah Area",549
2504,"E","15-20",180,76,764,450,"Lodgepole Pine","10","Cache la Poudre Area",525
2977,"S","10-15",268,75,1664,2774,"Lodgepole Pine","32","Comanche Peak Area",619
3118,"E","10-15",228,-64,1812,1465,"Spruce/Fir","29","Rawah Area",555
3084,"W","20-25",60,23,2347,661,"Lodgepole Pine","32","Comanche Peak Area",618
3249,"N","5-10",150,13,5788,870,"Spruce/Fir","22","Rawah Area",597
2380,"W","25-30",470,34,256,759,"Ponderosa Pine","10","Cache la Poudre Area",626
3414,"NW","5-10",295,38,2781,2186,"Krummholz","40","Rawah Area",612
2710,"SE","10-15",42,-8,2859,1205,"Lodgepole Pine","10","Comanche Peak Area",599
3165,"NW","20-25",351,71,2713,2690,"Spruce/Fir","29","Rawah Area",589
2733,"NW","5-10",272,62,1950,1940,"Lodgepole Pine","29","Rawah Area",605
3034,"E","15-20",0,0,1008,1320,"Spruce/Fir","32","Comanche Peak Area",526
3065,"S","25-30",242,52,2865,1450,"Lodgepole Pine","33","Comanche Peak Area",582
2839,"SE","25-30",0,0,153,1396,"Spruce/Fir","30","Rawah Area",542
2675,"N","10-15",0,0,1584,1328,"Lodgepole Pine","20","Comanche Peak Area",580
1920,"NE","30-35",30,16,67,511,"Ponderosa Pine","1","Cache la Poudre Area",420
2413,"E","25-30",376,85,400,886,"Ponderosa Pine","3","Comanche Peak Area",506
3372,"W","10-15",437,32,3373,1667,"Spruce/Fir","39","Rawah Area",629
3186,"N","5-10",216,-38,2603,2291,"Spruce/Fir","22","Rawah Area",596
3205,"W","5-10",234,17,5968,1728,"Lodgepole Pine","22","Rawah Area",621
3272,"E","5-10",212,27,918,812,"Spruce/Fir","32","Neota Area",580
2598,"N","15-20",150,46,972,589,"Lodgepole Pine","29","Rawah Area",554
2702,"NE","10-15",201,23,2250,1965,"Douglas-fir","32","Comanche Peak Area",571
3078,"N","5-10",242,67,1664,2136,"Spruce/Fir","29","Rawah Area",592
3100,"NE","20-25",212,56,4473,2844,"Spruce/Fir","29","Rawah Area",504
2893,"NE","15-20",127,45,553,216,"Lodgepole Pine","31","Comanche Peak Area",539
2808,"E","10-15",297,46,3183,2555,"Lodgepole Pine","12","Rawah Area",563
3352,"W","10-15",255,44,1739,1878,"Spruce/Fir","32","Comanche Peak Area",621
2593,"NW","0-5",218,-3,972,234,"Lodgepole Pine","29","Rawah Area",613
3024,"NE","5-10",182,16,2308,967,"Spruce/Fir","29","Rawah Area",588
3667,"NE","20-25",1068,255,2631,1256,"Spruce/Fir","40","Rawah Area",512
3068,"E","10-15",201,37,1935,3567,"Spruce/Fir","24","Comanche Peak Area",579
3241,"S","10-15",277,50,3571,3204,"Spruce/Fir","30","Rawah Area",634
3030,"NE","5-10",0,0,3048,1437,"Spruce/Fir","23","Rawah Area",588
2790,"E","10-15",0,0,671,1019,"Lodgepole Pine","23","Comanche Peak Area",570
2924,"SW","5-10",162,3,2047,1761,"Spruce/Fir","23","Comanche Peak Area",633
2871,"NW","10-15",0,0,2839,1934,"Lodgepole Pine","23","Rawah Area",588
2827,"S","20-25",390,161,2154,2066,"Lodgepole Pine","10","Comanche Peak Area",626
2324,"N","30-35",242,180,1101,1398,"Ponderosa Pine","10","Cache la Poudre Area",465
3143,"SE","25-30",361,91,371,543,"Lodgepole Pine","32","Comanche Peak Area",562
2985,"SE","20-25",335,141,6046,4149,"Lodgepole Pine","30","Rawah Area",584
2658,"NE","0-5",90,1,120,858,"Lodgepole Pine","11","Comanche Peak Area",599
2705,"W","35-40",446,212,993,1651,"Lodgepole Pine","28","Comanche Peak Area",586
2940,"SW","10-15",845,294,1261,1800,"Lodgepole Pine","31","Comanche Peak Area",636
2831,"NE","15-20",60,24,966,1857,"Spruce/Fir","30","Rawah Area",518
3065,"W","10-15",458,149,3139,2084,"Spruce/Fir","31","Comanche Peak Area",634
3140,"SE","25-30",426,146,553,1639,"Lodgepole Pine","27","Comanche Peak Area",571
2504,"NE","25-30",162,27,853,934,"Ponderosa Pine","10","Cache la Poudre Area",468
3223,"SE","10-15",708,29,3042,2965,"Lodgepole Pine","32","Comanche Peak Area",593
2888,"E","10-15",272,78,272,1266,"Spruce/Fir","29","Rawah Area",568
3049,"NE","5-10",636,236,540,953,"Lodgepole Pine","33","Comanche Peak Area",575
3193,"E","10-15",342,45,5765,1836,"Spruce/Fir","29","Rawah Area",559
2928,"SW","5-10",153,7,2071,1782,"Spruce/Fir","23","Comanche Peak Area",634
2664,"N","15-20",134,49,2438,1312,"Lodgepole Pine","10","Comanche Peak Area",554
2941,"SW","15-20",150,48,2126,1296,"Lodgepole Pine","33","Comanche Peak Area",639
3137,"W","20-25",242,63,2943,277,"Lodgepole Pine","13","Comanche Peak Area",622
2704,"NE","15-20",376,47,417,900,"Lodgepole Pine","11","Comanche Peak Area",544
3012,"W","15-20",30,10,3055,604,"Spruce/Fir","19","Rawah Area",611
2850,"N","10-15",170,23,3437,5725,"Lodgepole Pine","30","Rawah Area",579
3079,"N","10-15",127,12,2431,2266,"Spruce/Fir","32","Comanche Peak Area",567
2918,"W","20-25",212,77,882,218,"Lodgepole Pine","13","Comanche Peak Area",634
2637,"NE","30-35",268,154,875,1452,"Lodgepole Pine","33","Comanche Peak Area",439
2383,"N","25-30",242,111,342,1057,"Lodgepole Pine","10","Cache la Poudre Area",490
3169,"N","15-20",365,131,3449,1712,"Spruce/Fir","31","Comanche Peak Area",523
2908,"W","5-10",331,-67,1206,458,"Lodgepole Pine","23","Comanche Peak Area",622
3666,"N","15-20",1120,311,5251,3732,"Krummholz","40","Comanche Peak Area",558
2439,"W","10-15",285,75,708,1376,"Douglas-fir","10","Cache la Poudre Area",632
2876,"SE","10-15",242,31,2322,2190,"Lodgepole Pine","26","Comanche Peak Area",609
2394,"SW","10-15",134,42,30,95,"Douglas-fir","2","Comanche Peak Area",634
2691,"NE","10-15",443,-17,696,1924,"Lodgepole Pine","29","Rawah Area",571
3321,"SE","10-15",516,87,1318,2206,"Spruce/Fir","32","Comanche Peak Area",584
2982,"E","5-10",210,4,3989,5598,"Lodgepole Pine","29","Rawah Area",602
2725,"N","10-15",0,0,2643,5359,"Lodgepole Pine","12","Rawah Area",578
2908,"W","20-25",182,44,953,1003,"Lodgepole Pine","32","Comanche Peak Area",612
3226,"E","5-10",85,12,2419,2886,"Spruce/Fir","29","Rawah Area",581
3034,"E","10-15",30,-8,2627,2047,"Spruce/Fir","31","Comanche Peak Area",575
3274,"NE","10-15",376,99,4194,1885,"Spruce/Fir","39","Comanche Peak Area",563
2813,"E","5-10",150,21,4187,5389,"Spruce/Fir","29","Rawah Area",582
2995,"E","5-10",255,27,4793,5792,"Lodgepole Pine","12","Rawah Area",594
2928,"E","10-15",360,118,360,691,"Lodgepole Pine","29","Rawah Area",563
2968,"E","10-15",30,7,1674,3504,"Spruce/Fir","29","Rawah Area",559
3047,"W","0-5",616,69,5521,6217,"Lodgepole Pine","12","Rawah Area",620
3301,"N","10-15",362,98,5013,216,"Spruce/Fir","38","Rawah Area",561
2978,"SW","5-10",484,62,5528,3768,"Lodgepole Pine","29","Rawah Area",633
3162,"SE","15-20",175,7,3086,5202,"Spruce/Fir","30","Rawah Area",564
2584,"NE","10-15",309,-15,960,1061,"Ponderosa Pine","4","Comanche Peak Area",554
2948,"W","30-35",175,68,871,1052,"Lodgepole Pine","13","Comanche Peak Area",605
3268,"N","15-20",127,29,3572,2278,"Spruce/Fir","31","Comanche Peak Area",550
3207,"S","15-20",531,0,725,2071,"Lodgepole Pine","33","Comanche Peak Area",617
3130,"SW","15-20",511,106,5903,1718,"Lodgepole Pine","30","Rawah Area",638
3296,"E","5-10",108,27,4562,3825,"Spruce/Fir","23","Comanche Peak Area",596
3069,"N","0-5",85,3,1618,1739,"Lodgepole Pine","29","Rawah Area",604
2824,"NE","10-15",42,11,3300,2704,"Lodgepole Pine","20","Rawah Area",565
3395,"NW","15-20",484,64,1572,750,"Krummholz","39","Comanche Peak Area",594
3424,"E","10-15",524,139,2126,1492,"Spruce/Fir","35","Rawah Area",560
3056,"E","10-15",42,5,4818,2090,"Lodgepole Pine","29","Rawah Area",575
2944,"E","10-15",658,75,1153,1579,"Lodgepole Pine","32","Comanche Peak Area",572
2832,"E","10-15",0,0,4826,67,"Spruce/Fir","30","Rawah Area",586
2918,"W","15-20",0,0,2769,2098,"Spruce/Fir","22","Comanche Peak Area",620
2451,"NW","15-20",216,40,524,1415,"Lodgepole Pine","10","Comanche Peak Area",598
2153,"SE","25-30",134,75,713,67,"Cottonwood/Willow","3","Cache la Poudre Area",516
3268,"E","15-20",42,6,3349,2930,"Krummholz","39","Comanche Peak Area",552
2001,"N","35-40",108,93,127,384,"Ponderosa Pine","10","Cache la Poudre Area",392
2973,"N","15-20",67,4,2239,2721,"Lodgepole Pine","32","Comanche Peak Area",556
2746,"N","15-20",42,10,1800,3318,"Lodgepole Pine","20","Rawah Area",570
3258,"NE","5-10",503,14,4241,2480,"Spruce/Fir","22","Rawah Area",594
2744,"E","5-10",430,27,558,2694,"Lodgepole Pine","29","Rawah Area",585
3140,"NE","15-20",270,-34,1269,1290,"Spruce/Fir","29","Rawah Area",540
2698,"E","10-15",30,6,1933,95,"Spruce/Fir","33","Comanche Peak Area",568
3253,"E","5-10",240,-1,789,1842,"Spruce/Fir","23","Rawah Area",591
2957,"E","20-25",134,21,1731,2656,"Spruce/Fir","23","Comanche Peak Area",527
2926,"SW","10-15",124,7,5165,3878,"Lodgepole Pine","29","Rawah Area",633
3063,"N","5-10",0,0,616,1481,"Spruce/Fir","23","Rawah Area",588
2730,"S","10-15",85,21,1802,2635,"Lodgepole Pine","30","Rawah Area",619
3102,"NE","5-10",150,0,3931,1775,"Lodgepole Pine","29","Rawah Area",584
2963,"E","10-15",60,1,2137,2790,"Lodgepole Pine","32","Comanche Peak Area",582
3068,"SE","5-10",108,12,4006,558,"Spruce/Fir","29","Rawah Area",603
3045,"NW","15-20",607,275,918,1476,"Spruce/Fir","31","Comanche Peak Area",588
3175,"N","15-20",525,157,4602,2151,"Spruce/Fir","29","Rawah Area",553
